61204,eksamensplanlægger og skemalægger i 3 måneder,2016-11-08,,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden	
61205,vikariater i matematik,2016-11-08,matematik,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden	
61210,nye gymnasiale læringskonsulenter til implementering af gymnasiereformen og rådgivning af skolerne om kvalitetsudvikling forandringsprocesser og øget læring,2016-11-10,,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61214,fagkonsulent til teknologi på de gymnasiale uddannelser,2016-11-11,teknologi,fast stilling,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden	
61215,roskilde gymnasium søger vikar i fransk,2016-11-11,fransk,vikariat,Domkirkepladsen,4000,Roskilde,Region Sjælland	
61217,vil du være med til at hæve overliggeren for undervisning på hf?,2016-11-11,,fast stilling,Lavgade 30,6200,Aabenraa,Region Syddanmark	
61220,regnskabschef på morsø gymnasium,2016-11-15,,fast stilling,Limfjordsvej 95,7900,Nykøbing M,Region Nordjylland	
61223,undervisere til hf i dansk engelsk samfundsfag og erhvervsøkonomi,2016-11-16,dansk-engelsk-erhvervsøkonomi-samfundsfag,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland	
61225,hf matematiklærer til nykøbing f.,2016-11-17,matematik,fast stilling,Bispegade 1,4800,Nykøbing F,Region Sjælland	
61226,vikar religion (b-niveau),          ,religion,vikariat,         ,    ,       ,         	
61227,hf-lærerstillinger,2016-11-18,,fast stilling,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark	
61231,engelskunderviser søges til hf. (barselsvikariat),2016-11-21,engelsk,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland	
61233,barselsvikar i fysik til frederiksborg gymnasium og hf,2016-11-21,fysik,vikariat,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden	
61234,underviser til biologi og matematik på hf,          ,biologi-matematik,fast stilling,         ,    ,       ,         	
