61257,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i engelsk og et andet gymnasierelevant fag,2016-12-05,engelsk,vikariat,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland;
61259,vikariat i matematik med mulighed for forlængelse,2016-12-05,matematik,vikariat,Blytækkerporten 2,2650,Hvidovre,Region Hovedstaden;
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,dansk,vikariat,Hasserisvej 300,9000,Aalborg,Region Nordjylland;
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,engelsk,vikariat,Hasserisvej 300,9000,Aalborg,Region Nordjylland;
61269,underviser i matematik,2016-12-07,matematik,fast stilling,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61273,vikar i samfundsfag,2016-12-09,samfundsfag,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61275,barselsvikar i idræt,2016-12-12,idræt,vikariat,Gymnasievej 4,4600,Køge,Region Sjælland;
61276,timelærer i fysik,2016-12-12,fysik,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland;
61279,vikar til 2g fransk,2016-12-12,fransk,vikariat,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden;
61280,vikar i fysik,2016-12-12,fysik,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,engelsk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,tysk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61290,dansk niveau c foråret,          ,dansk,fast stilling,         ,    ,       ,         ;
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,          ,afsætning,fast stilling,         ,    ,       ,         ;
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,          ,virksomhedsøkonomi,fast stilling,         ,    ,       ,         ;
61299,hf & vuc københavn syd søger årsvikar i matematik,2017-01-05,matematik,vikariat,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61304,vikar i dansk,2017-01-09,dansk,vikariat,Nørre Voldgade 5,1358,København K,Region Hovedstaden;
61307,hf & vuc københavn syd søger musik lærer,2017-01-12,musik,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61308,vikar i engelsk og historie,2017-01-12,engelsk,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61308,vikar i engelsk og historie,2017-01-12,historie,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61310,vikar i engelsk,2017-01-13,engelsk,vikariat,Birketinget 9,8000,Aarhus C,Region Midtjylland;
61312,dansk,2017-01-19,dansk,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61317,vikarer til biologi og geografi søges til vores hf-hold,2017-01-23,biologi,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland;
61317,vikarer til biologi og geografi søges til vores hf-hold,2017-01-23,geografi,vikariat,Slotshaven 5,4300,Holbæk,Region Sjælland;
61318,vikariat i spansk,2017-01-24,spansk,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland;
61320,geografi,2017-01-25,geografi,fast stilling,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61325,barselsvikariat i kemi,2017-01-31,kemi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61326,vikariat i matematik,2017-02-01,matematik,vikariat,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61339,vikar i matematik,2017-02-20,matematik,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland;
61340,et antal stillinger i biologi kemi matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,biologi,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61340,et antal stillinger i biologi kemi matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,kemi,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61340,et antal stillinger i biologi kemi matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,matematik,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61340,et antal stillinger i biologi kemi matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,tysk,fast stilling,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61346,sygevikariat i biologi,2017-03-03,biologi,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61349,ledige stillinger i samfundsfag mediefag og billedkunst,2017-03-08,billedkunst,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland;
61349,ledige stillinger i samfundsfag mediefag og billedkunst,2017-03-08,mediefag,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland;
61349,ledige stillinger i samfundsfag mediefag og billedkunst,2017-03-08,samfundsfag,fast stilling,Slotshaven 5,4300,Holbæk,Region Sjælland;
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,fysik,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark;
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,kemi,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark;
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,matematik,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark;
