61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,historie-idræt,,Munkevej 9,7700,Thisted,Region Nordjylland;
61162,barselsvikar i historie og oldtidskunskab,2016-10-14,historie,,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden;
61163,lyngby gymnasium søger erfaren lærer i dansk gerne kombineret med et andet gymnasierelevant fag,2016-10-13,dansk,,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61164,afdelingsleder,2016-10-13,,,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark;
61168,hf & vuc københavn syd søger nye lærere,2016-10-14,,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61169,vikar til dansk og innovation,2016-10-14,dansk-innovation,,Skaldehøjvej 12,8800,Viborg,Region Midtjylland;
61171,akademisk studenterkursus søger ny rektor,2016-10-17,,,Titangade 13A,2200,København N,Region Hovedstaden;
61172,ledige idrætstimer ved frederiksberg hf-kursus,2016-10-17,idræt,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61176,struer statsgymnasium søger engelsklærer,2016-10-24,engelsk,,Jyllandsgade 2,7600,Struer,Region Midtjylland;
61177,fagkonsulenter til de gymnasiale uddannelser,2016-10-24,,,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden;
61178,rektor,2016-10-24,,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61179,ar i dansk og mediefag,2016-10-24,dansk-mediefag,,Vestergade 8,6520,Toftlund,Region Syddanmark;
61183,ledige timer i psykologi ved rosborg gymnasium & hf,2016-10-26,psykologi,,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61184,vikariat i idræt på christianshavns gymnasium,2016-10-26,idræt,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61187,tysk barselsvikar søges til hf,2016-10-28,tysk,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61188,- undervisere til hf/gs afdelingen januar 2017,2016-10-28,,,Dalgas Avenue 2,8000,Aarhus C,Region Midtjylland;
61189,barselsvikariat i kemi,2016-10-28,kemi,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,dansk-historie,,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61195,fastansættelse i biologi,2016-11-02,biologi,,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61196,pædagogisk leder ved n. zahles gymnasieskole,2016-11-02,,,Nørre Voldgade 5,1358,København K,Region Hovedstaden;
61200,vikariater,2016-11-04,,,Christiansfeldvej 31,6100,Haderslev,Region Syddanmark;
61202,vikar i psykologi,2016-11-04,psykologi,,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,fysik-matematik,,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61204,eksamensplanlægger og skemalægger i 3 måneder,2016-11-08,,,Titangade 13A,2200,København N,Region Hovedstaden;
61205,vikariater i matematik,2016-11-08,matematik,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61214,fagkonsulent til teknologi på de gymnasiale uddannelser,2016-11-11,teknologi,,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden;
61215,roskilde gymnasium søger vikar i fransk,2016-11-11,fransk,,Domkirkepladsen,4000,Roskilde,Region Sjælland;
61217,vil du være med til at hæve overliggeren for undervisning på hf?,2016-11-11,,,Lavgade 30,6200,Aabenraa,Region Syddanmark;
61220,regnskabschef på morsø gymnasium,2016-11-15,,,Limfjordsvej 95,7900,Nykøbing M,Region Nordjylland;
61225,hf matematiklærer til nykøbing f.,2016-11-17,matematik,,Bispegade 1,4800,Nykøbing F,Region Sjælland;
61226,vikar religion (b-niveau),,religion,,,,,;
61227,hf-lærerstillinger,2016-11-18,,,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark;
61231,engelskunderviser søges til hf. (barselsvikariat),2016-11-21,engelsk,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61233,barselsvikar i fysik til frederiksborg gymnasium og hf,2016-11-21,fysik,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61234,underviser til biologi og matematik på hf,,biologi-matematik,,,,,;
61235,barselsvikariat naturgeografi,2016-11-21,geografi,,Østergade 52,3200,Helsinge,Region Hovedstaden;
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,historie-idræt,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61238,vikar i ikt,2016-11-22,,,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden;
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,engelsk-idræt,,Skolevangen 25,9800,Hjørring,Region Nordjylland;
61241,vikariat i fagene engelsk og psykologi,2016-11-23,engelsk-psykologi,,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61243,vikar i matematik og kemi,2016-12-06,kemi-matematik,,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61244,ymnasium - vikariat i religion,2016-11-28,religion,,Prinsessegade 35,1422,København K,Region Hovedstaden;
