61155,2-3 barselsvikariater i tysk, engelsk og psykologi,2016,engelsk-psykologi-tysk,,Nørrebrogade 88,7000,Fredericia
61155,2-3 barselsvikariater i tysk, engelsk og psykologi,10,engelsk-psykologi-tysk,,Nørrebrogade 88,7000,Fredericia
61155,2-3 barselsvikariater i tysk, engelsk og psykologi,11,engelsk-psykologi-tysk,,Nørrebrogade 88,7000,Fredericia
61156,sygevikariat i samfundsfag ved frederiksberg hf-kursus,2016-10-11,samfundsfag,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,historie,,Munkevej 9,7700,Thisted,Region Nordjylland;
61160,hf-lærer – årsvikar i historie og idræt,2016-10-13,idræt,,Munkevej 9,7700,Thisted,Region Nordjylland;
61162,barselsvikar i historie og oldtidskunskab,2016-10-14,historie,,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden;
61163,lyngby gymnasium søger erfaren lærer i dansk gerne kombineret med et andet gymnasierelevant fag,2016-10-13,dansk,,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61169,vikar til dansk og innovation,2016-10-14,dansk,,Skaldehøjvej 12,8800,Viborg,Region Midtjylland;
61169,vikar til dansk og innovation,2016-10-14,innovation,,Skaldehøjvej 12,8800,Viborg,Region Midtjylland;
61172,ledige idrætstimer ved frederiksberg hf-kursus,2016-10-17,idræt,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61176,struer statsgymnasium søger engelsklærer,2016-10-24,engelsk,,Jyllandsgade 2,7600,Struer,Region Midtjylland;
61179,ar i dansk og mediefag,2016-10-24,dansk,,Vestergade 8,6520,Toftlund,Region Syddanmark;
61179,ar i dansk og mediefag,2016-10-24,mediefag,,Vestergade 8,6520,Toftlund,Region Syddanmark;
61180,barselsvikariater i idræt, engelsk og oldtidskundskab,2016,engelsk-idræt-oldtidskundskab,,Rådmands Boulevard 20,8900,Randers C
61180,barselsvikariater i idræt, engelsk og oldtidskundskab,10,engelsk-idræt-oldtidskundskab,,Rådmands Boulevard 20,8900,Randers C
61180,barselsvikariater i idræt, engelsk og oldtidskundskab,25,engelsk-idræt-oldtidskundskab,,Rådmands Boulevard 20,8900,Randers C
61183,ledige timer i psykologi ved rosborg gymnasium & hf,2016-10-26,psykologi,,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61184,vikariat i idræt på christianshavns gymnasium,2016-10-26,idræt,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61187,tysk barselsvikar søges til hf,2016-10-28,tysk,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61189,barselsvikariat i kemi,2016-10-28,kemi,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,dansk,,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61191,frederiksberg gymnasium søger barselsvikar i dansk og historie,2016-11-01,historie,,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61195,fastansættelse i biologi,2016-11-02,biologi,,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61198,vuc lyngby søger hf lærere til dansk, engelsk og religion,2016,dansk-engelsk-religion,,Nybrovej 114,2800,Kongens Lyngby
61198,vuc lyngby søger hf lærere til dansk, engelsk og religion,11,dansk-engelsk-religion,,Nybrovej 114,2800,Kongens Lyngby
61198,vuc lyngby søger hf lærere til dansk, engelsk og religion,03,dansk-engelsk-religion,,Nybrovej 114,2800,Kongens Lyngby
61199,ministeriet for børn, undervisning og ligestilling søger lærer til europaskolen i bruxelles i,2016,,,Tidemandsvej 1,4300,Holbæk
61199,ministeriet for børn, undervisning og ligestilling søger lærer til europaskolen i bruxelles i,11,,,Tidemandsvej 1,4300,Holbæk
61199,ministeriet for børn, undervisning og ligestilling søger lærer til europaskolen i bruxelles i,14,,,Tidemandsvej 1,4300,Holbæk
61202,vikar i psykologi,2016-11-04,psykologi,,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,fysik,,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61203,barselsvikarer i matematik og fysik til støvring gymnasium,2016-11-07,matematik,,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61205,vikariater i matematik,2016-11-08,matematik,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61210,nye gymnasiale læringskonsulenter til implementering af gymnasiereformen og rådgivning af skolerne om kvalitetsudvikling, forandringsprocesser og øget læring,2016,,,Tidemandsvej 1,4300,Holbæk
61210,nye gymnasiale læringskonsulenter til implementering af gymnasiereformen og rådgivning af skolerne om kvalitetsudvikling, forandringsprocesser og øget læring,11,,,Tidemandsvej 1,4300,Holbæk
61210,nye gymnasiale læringskonsulenter til implementering af gymnasiereformen og rådgivning af skolerne om kvalitetsudvikling, forandringsprocesser og øget læring,10,,,Tidemandsvej 1,4300,Holbæk
61214,fagkonsulent til teknologi på de gymnasiale uddannelser,2016-11-11,teknologi,,Tidemandsvej 1,4300,Holbæk,Region Hovedstaden;
61215,roskilde gymnasium søger vikar i fransk,2016-11-11,fransk,,Domkirkepladsen,4000,Roskilde,Region Sjælland;
61223,undervisere til hf i dansk, engelsk, samfundsfag og erhvervsøkonomi,2016-11-16,dansk-engelsk-erhvervsøkonomi-samfundsfag,,Nålemagervej 110,8920
61225,hf matematiklærer til nykøbing f.,2016-11-17,matematik,,Bispegade 1,4800,Nykøbing F,Region Sjælland;
61226,vikar religion (b-niveau),          ,religion,,         ,    ,       ,         ;
61231,engelskunderviser søges til hf. (barselsvikariat),2016-11-21,engelsk,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61233,barselsvikar i fysik til frederiksborg gymnasium og hf,2016-11-21,fysik,,Carlsbergvej 15,3400,Hillerød,Region Hovedstaden;
61234,underviser til biologi og matematik på hf,          ,biologi,,         ,    ,       ,         ;
61234,underviser til biologi og matematik på hf,          ,matematik,,         ,    ,       ,         ;
61235,barselsvikariat naturgeografi,2016-11-21,geografi,,Østergade 52,3200,Helsinge,Region Hovedstaden;
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,historie,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,idræt,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,engelsk,,Skolevangen 25,9800,Hjørring,Region Nordjylland;
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,idræt,,Skolevangen 25,9800,Hjørring,Region Nordjylland;
61241,vikariat i fagene engelsk og psykologi,2016-11-23,engelsk,,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61241,vikariat i fagene engelsk og psykologi,2016-11-23,psykologi,,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61243,vikar i matematik og kemi,2016-12-06,kemi,,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61243,vikar i matematik og kemi,2016-12-06,matematik,,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61244,ymnasium - vikariat i religion,2016-11-28,religion,,Prinsessegade 35,1422,København K,Region Hovedstaden;
